Funct-name,Funct-desc
count.order,Set Count Sheet Order
blank,:
chgsec,Change Inventory Screen Security
star.qty,Set Star-Item Qty
count.sh.mass,Mass Count Sheets
blank,:
jit,JIT/ Repetitive Manufacturing
jit.overview,Overview Menu
mfg.log,MFG Log On/Off
jit.maintenanc,File Maintenance Menu
jit.transactio,Transaction Processing Menu
jit.report,Management Reporting Menu
jit.inquiry,Inquiry Menu
jit.system,System Management Menu
jit.technical,Current Release Technical Notes
jit.exec,Executive Reporter Menu
jit.exec,Executive Reporter Menu
jit.inquiry,Inquiry Menu
bom.rev.inq,BOM Revision Inquiry
single.comp.in,Single-level Component Inquiry
rout.rev.inq,Routing Revision Inquiry
oper.inq,Operations Inquiry
wk.inquiry,Work Center Inquiry
wc.prod.inq,Work Center Production Inquiry
wk.mat.var.inq,Work Center Material Variance Inq
container.inq,Container Inquiry
cont.hist.inq,Container History Inquiry
bin.inq,Process Bin Inquiry
bin.hist.inq,Process Bin History Inquiry
opt.bill.inq,Options Bill Inquiry
machine.inq,Machine Inquiry
mach.hist.inq,Machine History Inquiry
jit.maintenanc,File Maintenance Menu
bill.maintenan,Bill of Material Maintenance
routing.maint,Routing Maintenance
workcs.maint,Work Center Maintenance
cont.maint,Container Maintenance
machine.maint,Machine Maintenance
causec.maint,Reject Cause Maintenance
bin.maint,Process (Mfg) Bin Maintenance
density.maint,Item Density Maintenance
wip.density,WIP Density Maintenance
cost.maint,Cost Maintenance
abc.pool.maint,Activity Based Cost-ABC Pool Maint
shop.calendar,Shop Calendar Maintenance
mfg.ctrl.maint,MFG Control-File Maintenance
bomc.list,Bill of Material List
routing.list,Routing List
workc.list,Work Center List
cont.list,Container List
machine.list,Machine List
cause.list,Reject Cause List
bin.list,Inventory Bin List
density.list,Item Density List
wipdens.list,Work in Process Density List
cost.list,Cost List
abc.list,Activity Based Cost (ABC) List
shop.cal.list,Shop Calendar List
mfg.ctrl.list,Mfg Control File List
jit.overview,Overview Menu
jit.features,System Features
jit.proced.flo,Procedural Flow
jit.conversion,Conversion Guide
jit.demo,Self-paced JIT Demo
jit.report,Management Reporting Menu
production.rep,Production Report
wc.movement.re,Work Center Material Movement Rep
indented.bom,Indented Bill of Material Report
bom.routing,Indented BOM with Routings Report
alternate.rout,Std and Alternate Routings Report
summary.explos,Summarized Multi Level Explosion
mach.hist.rep,Machine History Report
mat.var.rep,Material Variance Report
single.where,Single Level Where-used Report
multi.where,Multi-Level Where-used Report
pending.rev,Time Slice Revision Report
jit.system,System Management Menu
back.tran.purg,Backflush Transaction Purge
mach.hist.purg,Purge Machine History
std.cost.roll,Standard Cost Rollup Simulation
std.cost.updat,Standard Cost Update
rollup.yield,Rollup Actual Yields to Standards
abc.cost.reset,Reset ABC Cumulative Costs
incr.mfg.prd,Increment Year/Period
jit.transactio,Transaction Processing Menu
jit.issue.bins,Issue Raw Materials to Bins
jit.backflush,Work Center(Point-of-Use)Backflush
last.jit.back,Edit Last Work Center Backflush
jit.recv.proc,Receive Processed Inventory
jit.cont.adjus,Container Inventory Adjustment
jit.bin.adjust,Bin Inventory Adjustment
mach.hist.entr,Machine History Entry
bin.hist.list,Bin History List
cont.hist.list,Container History List
jit.trans.jrnl,Inventory Transactions Journal
mrp.log,MRP Log On/Off
detail.inquiry,MRP Detailed Inquiry
mrp.inq,MRP Inquiry
sumunit.list,Summary Report in Units
detail.report,Detailed Pegging Report
locked,Identify User Lock from Port
find-user,Find Titan User
bat.prn.maint,Batch Job Printer Maintenance
op,OP Sales Order Processing
op.log,Log On/Off
op.maintenance,File Maintenance Menu
op.transaction,Transaction Processing Menu
op.report,Management Reporting Menu
op.inquiry,Inquiry Menu
order.audit,Order Entry Audit Trail
h/r.audit,Hold/Release Audit Trail
cancel.audit,Cancelled Picking Slip Audit Trail
invoice.audit,Order Invoicing Audit Trail
billing.audit,Direct Billing Audit Trail
itemlabel2d,2D Item Label
op.inquiry,Inquiry Menu
sa.cust.inq,Sales Analysis Statistics
sa.item.inq,Sales Analysis By Item Inquiry
pricing.inq,Customer Pricing Inquiry
invoice.inq,Sales Invoice Inquiry
inv.line.inq,Sales Invoice Lines
order.inquiry,Sales Order Inquiry
order.line.inq,Sales Order Lines
quote.inquiry,Quotation Order Inquiry
quote.ln.inq,Quotation Order Lines
pps.inquiry,Picking Slip Inquiry
pps.line.inq,Picking Slip Lines
alloc.inq,Allocated Order Inquiry
alloc.ln.inq,Allocated Order Lines
atp.distribute,Available-to-Promise (ATP) Display
custship.inq,Customer Ship-to Inquiry
shiphist.inq,Shipping History Inquiry
op.add.inq,Order Additional Charges Inquiry
iv.add.inq,Invoice Additional Charges Inquiry
horder.inquiry,Order History Inquiry
horder.line.in,Order History Line Inquiry
hord.add.inq,Order History Add Charges Inquiry
hinvoice.inq,Sales Invoice History Inquiry
hinv.line.inq,Sales Invoice History Line Inquiry
hinv.add.inq,Sales Invoice History Add Chg Inq
itminq,Item Inquiry
h-order.inq,PO by Customer Inquiry
inqbkg,Bookings Report Inquiry
op.histinq,Ship History Archive Inquiry
op.maintenance,File Maintenance Menu
ord-type.maint,Order-Type Maintenance
charge.maint,Additional Charge Maintenance
op.ctrl.maint,Control-File Maintenance
op.ctrl.audit,Control-File Audit Trail
xent.maint,X-Entity Maintenance
shipping.maint,Customer Shipping Maintenance
shipto.maint,Customer Ship-to Maintenance
bill-funct,Billing Functions
pobuyer,Buyer/Planner Group Maintenance
pt.maint,Product Type Maintenance
conttype.maint,Shipping Container Type Maint.
item.xref,Serigraphs Item/Cust Cross Ref
custpric.list,Customer Pricing List
ord-type.list,Order-Type List
charge.list,Additional Charge List
op.ctrl.list,Control-File List
op.audits,Audit Trails (All Others)
custsh.rpt,Customer Ship-to Report
pt.list,Product Type Listing
upd.cust.add,Update Customer Address on Orders
custprcb,Verify Customer Pricing
autobprc,Customer Pricing Conversion
itemchg,Update Item Buyr/Plnr and End Prod
cust.sh.imp,Customer Ship-To Import
cust.sh.exp,Customer Ship-To Export
comm-brk-maint,Commission Breakdown Maintenance
comm-brk-maint,Commission Breakdown Maintenance
pps.load,PPS - Pitney Load of Orders
pps.loadd,PPS - Direct Load
pps.maint,PPS - Maintainenance
pps.inv,PPS - Invoice all orders
fcrpt,Forecast Report
pps.down,Pitney Order File Transfer
pps.dos,PPS - Transfer to DOS
pps.plist,PPS - Pitney List
pps.ilist,PPS - Invoices Review List
qquote.f,Quick quote setup
qquite.e,Quick quotes
op.report,Management Reporting Menu
stock.report,Stock Status Report
order.customer,Orders By Customer Number Report
in.custrel,Customer Release/Inventory Report
slsrpt,Sales Margin Report
op.custrel,Customer Release Report
proj.ship,Projected Shipments report
invupd,Invoice update report
op.xslsrpt,Corporate sales report
aberrpt,Auto Billing Error Report
abstatrpt,Auto Billing Statistical Report
delvper,Delivery Performance
air.report,Air Authorization Report
acct.rpt,Monthly Account Status Report
retail.report,Retail Report
outstand.slip,Outstanding Picking Slip Report
sa-stats.item,S/A By Stats-Code By Item
sa-sales.cust,S/A By Sales Rep By Customer
sa-cust.item,S/A By Customer By Item
sa-cust.type,S/A By Customer By Customer-Type
invoice.report,Invoice Report
op.tax,Sales Tax Report
invaud,Invoice Print Audit Report
booking,Bookings Report
invjrl,Invoice/Credit Journal
shiplog,Shipping Log Report
chgprt,Change printer form id
pickrpt,Picking Slip Report
op.stack.log,Stackable Log On/Off
sa.reset,Sales Analysis Reset
incr.op.prd,Increment Year/Period
order.purge,Order Purge
invoice.purge,Invoice Report Purge
quote.purge,Quotation Purge
quote.cancel,Automatic Quotation Cancellation
invoice.fix,Clean-up Corrupt Invoices
horder.purge,Order History Purge
hinvoice.purge,Invoice History Purge
shiphist.purge,Purge Shipping History
air.prg,Air Authorization Purge
rest-shiphist,Restore Shipping History
invoicing,Order Invoicing
billing,Direct Billing & Credit Notes
invcopt,Invoicing Options
ctrl.invoices,Print Invoices Controlled Document
invoices,Print Invoices
inv.line.cost,Invoice Line Cost Update
cc-disconnect,CC Disconnect
tmplt-inv-data,Template Invoice Data Report
custsalmnt,Customer Maint for Sales
op.transaction,Transaction Processing Menu
quote.entry,Quotation Entry
order.entry,Order Entry
allocate.order,Allocation By Order
allocate.item,Allocation By Item
generate.slips,Picking Slip Generation
cancel.slips,Picking Slip Cancellation/Change
upditem,Order Line Update
ppscons,Manifested Packing Slip
pps-to-rdock,Move Items on PPS to R-Dock
blank,:
op.allo-gen,One Step Allocate/Generate/Print
blank,:
pick,Pick Parts to R-Dock
form.alignment,Form Alignment
confirmations,Print Order Confirmations
picking.slips,Print Picking Slips
comm.invoice,Commercial Invoice Print
ship-con,Ship Consignment/VMI Sales Orders
ppsprnd,On-demand PPS print
packslp1,Print Pack Slip (from PPS)
air.auth,Air Authorization Maint (Sales)
air.ship,Air Authorizations for Shipping
ez.need.titan,ezPOP Need Titan Order Flag
cust-memo,Customer Memo Update
popeyes-import,Popeye's PO/Pricing Import
promo-to-so,ezPOP Promotion Import
ez-item-maint,ezPOP - Item Maint
blank,:
pps.cust,PPS For Customer Part Number
mfg.log,MFG Log On/Off
pac.maintenanc,File Maintenance Menu
pac.transactio,Transaction Processing Menu
pac.report,Management Reporting Menu
pac.inquiry,Inquiry Menu
pac.inquiry,Inquiry Menu
wo.inquiry,Work Order Inquiry
wc.inquiry,Work Center Inquiry W/Labor
whs.inquiry,Warehouse Inquiry
wo.oper.inq,WO Operation Inquiry
oper.tran.inq,WO Operation Transaction Inquiry
oper.time.inq,WO Operation Time Inquiry
fg.inquiry,Finished Goods Inquiry
fg.tran.inq,Finished Goods Transaction Inquiry
lot.track.inq,Lot Tracking Inquiry
labor.maint,Labor Logs Inquiry/Maintenance
woanalys,Work Order Analysis
oos.inq,O.O.S. Inquiry
woyld.inq,Work Order Yield Inquiry
emp.inq.mfg,Employee Inquiry for MFG
mach.hist.inq,Machine History Inquiry
wip.load.inq,Capacity and WIP Load Inquiry
wip,Work Order by Item Inquiry
pp1,Replacement for PP1 Screen Inq.
hvoc.tran,Voc-tran History
h-work-order,Work Order History Inquiry
wcscrinq,Work Center Screening Inquiry
wcinkinq,Work Center Ink Inquiry
prepinq,Prep Screen Inquiry
cm.cost.inq,CM Cost Breakdown Inquiry
pac.maintenanc,File Maintenance Menu
shop.calendar,Shop Calendar Maintenance
emp.maint,Employee Maintenance for MFG
pa.empdmnt,Employee Wage Maintenance
cost.maint,Cost Maintenance
cause.maint,Reject Cause Maintenance
mfg.ctrl.maint,MFG Control-File Maintenance
wotc.maint,Work Order Type Code Maintenance
container.type,Ink Container Type Maintenance
exc.labor,Labor Recording Shift/Exception Ma
param.control,Parameter Control File Maintenance
fc.maint,Family Code Maintenance
probcaus.maint,Problem/Cause Maintenance
abcpool,ABC Cost Pool Maintenance
travlrcpt,WO Traveler Shipping Form Maint
shop.cal.list,Shop Calendar List
employee.list,Employee List
pa.emp-dr,Employee Wage List
cost.list,Cost List
cause.list,Reject Cause List
mfg.ctrl.list,Mfg Control File List
wotc.list,Work Order Type Code List
abccontrol,ABC Material Control
param.cntl.lst,Parameter Control Listing
fc.listing,Family Code Listing
blank,:
pac.report,Management Reporting Menu
wo.summary.rep,Work Order Summary Report
wo.detail.rep,Work Order Detail Report
wo.status.rep,Work Order Status Report
oper.status,Work Center Operational Status Rep
wo.yield.rep,Work Order Yield Report
wo.miss.iss,Work Order Missing Issues Report
wk.capacity,Work Center Capacity & Load Report
dispatch.rep,Dispatch Report/W-Center Priority
mach.hist.rep,Machine History Report
wo.oneline,WIP Report by Buyer/Planner
wo.actual,Month End WIP Report
labor.analysis,Labor Analysis Report
exp.rpt,Expedite Report
recut.report,Recut Report
except.report,Variance Exception Report
mat.issue,Monthly Material/Ink Issue
cost.var.rep,Cost Variance Report
oos.report,OOS/ Out Of Stock Report
wc.activity,Work Center Activity Report
emp.active,Employee Activity Report
altrpt,Alteration Change Report
downtime.rpt,Manufacturing Downtime/Indirect Rp
product.rpt,Manufacturing Productivity Report
inspection.rpt,Inspection Labor Detail Report
closewo,Closed Work Order Report
comp.usg.rpt,WO Component Usage Variance Report
runview,View Report Output From a File
bm.stack.log,Stackable Log On/Off
incr.mfg.prd,Increment Year/Period
rollup.yield,Rollup Actual Yields to Standards
purge.batch,Batch Purge
purge.voc,Voc-tran Purge
rollccode,Roll Workcenter Costs to History
ind.wo.mass,Indirect Work Order Mass Change
blank,:
blank,:
blank,:
blank,:
blank,:
blank,:
rollclist,Workcenter Cost (Curr/LY) List
ink,Laminate Material Order Screen
mach.hist.entr,Machine History Entry
finite.schedul,Finite Scheduling
bottleneck.sch,Bottleneck Scheduling
resched.wo,Reschedule Selected Work Orders
split.wo,Split / Merge Work Order
pac.inv.jrnl,PAC/Inventory Transactions Journal
pac.transactio,Transaction Processing Menu
release.wo,Release/Create/Print Work Order
wo.sched,Work Order Sched/Maint
wo.sched,Work Order Sched/Maint
shortage.check,Component Shortage Check
issue,Record Labor/Material
labor,Record Labor
voc.batch,VOC Batch/Tracking
oos.maint,O.O.S. Maintenance
ibl,Ink Batch Labels
hold.free,Hold / Free Work Orders
wo.edit,Edit Completed Work Order
receive.fg,Receive Finished Goods
close.wo,Close Fully Received Work Order
skip,Close Work Order Operations
wclabr.maint,Labor Recording Maint by Work Cntr
pushout-wo,Pushout VarPrint WO Files
closed.wo,F/RL/S/MC/RC/CC Work-order Inq/Ma
calculate.wip,Calculate Capacity and WIP Load
voc.log,VOC Logs
labor.maint,Labor Logs Inquiry/Maintenance
wo.print,Print/Reprint Work Orders
audit.labor,Labor Recording Audit Inq/Maint
und.mfg.cost,Understanding Manufacturing Cost
on-line.sch,On-line Schedule for Inks/Screens
ink.issue,Ink Issue/Return/Adjust
order.ink,On-line Schedule Order Maint.
invinwo,Change WO on Invoice Line
fix-wo-iss-cst,Update WO Issue Costs
woudtypcode,Release Work Order
pj,Project Costing
pj.overview,Overview Menu
pj.log,Log On/Off
pj.maintenance,File Maintenance Menu
pj.transaction,Transaction Processing Menu
pj.report,Management Reporting Menu
pj.inquiry,Inquiry Menu
pj.system,System Management Menu
pj.technical,Technical Documentation Menu
pj.exec,Executive Reporter Menu
pj.exec,Executive Reporter Menu
pj.inquiry,Inquiry Menu
project.inq,Project Master Inquiry
pj.maintenance,File Maintenance Menu
project.maint,Project Maintenance
:,:
task.maint,Task Maintenance
:,:
project.type,Project Type Maintenance
cotgr.maint,Cost Group Maintenance
pj.cost.maint,Direct Cost Type Maintenance
pj.rate.maint,Wage Rate/Category Maintenance
pj.emp.maint,Employee Maintenance
:,:
ratetype.maint,Rate Type Maintenance
rateappl.maint,Rate Application Maintenance
pj.projgl.main,Project GL Accounts Maintenance
pj.ptygl.maint,Project Type GL Accounts Maint.
pj.ctrl.maint,PJ Control-File Maintenance
project.list,Project List
project.audit,Project Audit Trail
task.list,Task List
task.audit,Task Audit Trail
pj.type.list,Project Type List
cotgr.list,Cost Group List
pjcost.list,Direct Cost Type List
pjrat.list,Wage Rate List
pjemp.list,Employee List
:,:
rate.type.list,Rate Type List
rateappl.list,Rate Application List
pjglacct.list,Project GL Accounts list
pjtypgl.list,Project Type Gl Accounts List
pj.ctrl.list,PJ Control-File List
pj.audits,P/J Audit Trails (All Others)
pj.overview,Overview Menu
pj.benefits,P/J System Benefits
pj.features,P/J System Features
pj.proced.flow,P/J Procedural Flow
pj.conversion,P/J Conversion Guide
pj.report,Management Reporting Menu
project.cost,Project Cost Detail Report
cost.ledger,Project Cost Ledger
dollars.commit,Dollars Committed - Summary Report
commit.detail,Dollars Committed -- Detail Report
pj.apcjr,Print/Reset Applied Cost Journal
gantt.chart,Gantt Chart
wbs.list,Task Structure List
pj.system,System Management Menu
pj.inactivate,Inactivate Project/Tasks
purgproj,Purge Project Data
pj.jrnapl,Applied Cost to GL
pj.rverpst,Revenue and Earnings to GL
me.close,Month End Project Cost Close
:,:
pjsum.maint,Project Summary Record Maintenance
pjfiscal.maint,Project Fiscal Record Maintenance
tkfiscal.maint,Task Fiscal Record Maintenance
:,:
:,:
:,:
:,:
:,:
:,:
pjsum.list,Project Summary Record List
pjfiscal.list,Project Fiscal Record List
tkfiscal.list,Task Fiscal Record List
pj.transaction,Transaction Processing Menu
pj.time.entry,Employee Time Card Entry
pj.post.time,Post Time Cards
:,:
billing.ledger,Project Billing Ledger
pj.blbrowse,Invoice Entry and Adjustment
pj.billst,Print Billing Register
pj.fnlzbl,Project Billing Update
pj.invprint,Print Invoices
:,:
pj.rverpr,Revenue and Earnings Worksheet
po,PO Purchase Orders
po.log,Log On/Off
po.maintenance,File Maintenance Menu
po.system,System Management Menu
rcpt.anal.inq,Receipt Analysis Statistics
purch.anal.inq,Purchase Analysis by Category
po.header.inq,Purchase Order Inquiry
po.line.inq,Purchase Order Lines
receipt.inq,Receipt Inquiry
rcpt.line.inq,Receipt Lines
recon.inq,Reconciled Receipt Lines
blanket.po.inq,Blanket Purchase Order Inquiry
blank.line.inq,Blanket Purchase Order Lines
requis.inq,Requisition Inquiry
req.line.inq,Requisition Lines
item.vend.inf,Item Vendor Information
item.vend.spec,Item Vendor Special Description
po.vend.inq,PO by Vendor Inquiry
po.arc.inq,PO Archive Inquiry
po.line.arc,PO Line Archive Inquiry
fax-audit,View FAX Audit File
poref.inq,PO Inquiry by Reference
po.maintenance,File Maintenance Menu
itemvend.maint,Item Vendor Maintenance
itemvend.audit,Item Vendor Audit Trail
po-type.maint,Receipt-Type Maintenance
po-add.maint,Additional Charge Maintenance
po.ctrl.maint,Control-File Maintenance
po-buyer,Buyer Maintenance
vmimaint,VMI Vendor Maintenance
req-auto-ctrl,Req Auto-Gen Control Maintenance
vendcert,Vendor Certification
itemvend.list,Item Vendor List
po-type.list,Receipt-Type List
po-add.list,Additional Charge List
po.ctrl.list,Control-File List
po.audits,Audit Trails (All Others)
po-buyer-list,Buyer List
po.req.list,Requisition List
po.req.item,Requisition By Item
purch.report,Purchase Order Report
blanket.report,Blanket P/O Report
sched.receipts,Scheduled Receipts Report
receipt.report,Receipts Report
analysis.rpt,Receipt Analysis Report
reconc.report,Receipt Reconciliation Report
vend.analysis,Vendor Performance Analysis
exec.dan,price history report
poreqliu,Requisition List by Userid
chgprt,Change printer form id
blank,:
blank,:
runview,View Report Output From a File
po.system,System Management Menu
po.stack.log,Stackable Log On/Off
po.req.convert,Requisition Conversion
po.purge,Purchase Order Purge
receipt.purge,Receipt Purge
poreq.purge,Requisition Purge
analysis.reset,Receipt Analysis Reset
incr.po.prd,Increment Year/Period
po.purges,PO Purge without characters
po-create,Create PO from Purged PO
inact-items,Inactivate Item Numbers
switch.buyer,Switch Buyer Codes
po.req.entry,Requisition Entry
po.entry,Purchase Order Entry
blanket.entry,Blanket P/O Entry
release.entry,Blanket P/O Release
form.alignment,Form Alignment
purchase.order,Print Purchase Orders
receipt.entry,Receipt Entry
reconc.entry,Receipt Reconciliation
close.receipts,Close Receipts
po.closrrc,Close All Reconciled Receipts
polab,Purchasing vendor Labels
wopoinq,Work Order/PO Maintenance
unprtdpo,Unprtd/Unfaxed Blankets & Releases
vmi.receipt,VMI Receipt Entry
mvcons,VMI Move Inventory
vend-ship-rcpt,Vendor Portal Shipment Receipt
po.req.audit,Requisition Audit Trail
purch.audit,Purchase Order Audit Trail
blanket.audit,Blanket P/O Audit Trail
release.audit,Blanket P/O Release Audit Trail
receipt.audit,Receipt Audit Trail
rcpt.item.jrnl,Receipt Item Journal
close.rcpt.aud,Closed Receipts Audit Trail
recpo,Compare Receipt & PO FOB-vend-amt
blank,:
blank,:
blank,:
blktupd,Update WO#/Oper Seq on Blanket PO
poline-wo-fix,PO Line WO Fix
portal-wo-move,Portal WO Move
pt,PT Productivity Tools
pt.mfgoper,Manufacturing Operations
wo-data.ext,Work Order Data FTP Extract
inv.ext,Inventory Usage/Turns Extract
crprpt,Capacity Planning Report
pt.mfgoper,Manufacturing Operations
nlabor,Labor Recording
homesweethome,Home Sweet Home Labor Entry
order.ink,On-line Schedule Order Maint.
labr.quality,Labor Reporting w/ Quality
move.tag,Print WIP Item Labels
blank,:
Param.maint,Parameter Maintenance
msds.maint,MSDS Maintenance
param.xfer,Transfer Parameters
param.display,Display Parameters Control Table
emp.maint,Employee Maintenance for MFG
emp.inq.mfg,Employee Inquiry for MFG
audit.labor,Labor Recording Audit Inq/Maint
chngdev.maint,Change Deviation Maintenance
woanalys,Work Order Analysis
wctype.rpt,Work Center Type Codes Report
ppap.ship,Release PPAP Item on PPS to Ship
wo-upd,Work Order Update
employee.list,Employee List
newemp.active,Employee Productivity Report
product.rpt,Manufacturing Productivity Report
downtime.rpt,Manufacturing Downtime/Indirect Rp
inspection.rpt,Inspection Labor Detail Report
dtl.quality,Detailed Quality Report
qual.report,Quality Report
closewo,Closed Work Order Report
rout-prt,Work Order Analysis Report
insp.prod,Inspector Productivity Report
auditor.prod,Auditor Productivity Report
defect.summ,Defect Summary Report
blank,:
fcinq,Forecast Inquiry
ar-mrkt,Marketing Customer Maintenance
sbu-maint,Customer SBU Maintenance
terr.maint,Territory Maintenance
slsrep.maint,Sales Rep Maintenance
program,Sales Program Maintenance
agency,Agency Maintenance
user-web,Web User Defined Fields Maint.
spec-sheet,Web Spec Sheet File Maintenance
fc.export,Forecast Export
fc.import,Forecast Import
fcrpt,Forecast Report
gainloss,Forecast Gain / Loss Report
fcsls,Forecast vs Sales Report
terr.list,Territory List
slsrep.list,Sales Rep List
sburpt,Customer SBU List
inqprog,Sales Program Inquiry
agencylst,Agency Listing
custclas,Customer Classification
progitem,Sales Program by Item Listing
repsales,Split-Account Sales Report
py,Payroll
py.overview,Overview Menu
py.log,Log On/Off
py.maintenance,File Maintenance Menu
py.transaction,Transaction Processing
py.report,Management Reporting Menu
py.inquiry,Inquiry Menu
py.system,System Management Menu
py.technical,Technical Documentation Menu
py.exec,Executive Reporter Menu
help,How To Get Help
help.inq,Help Choices
browse.zoom,Browse/Zoom Procedures
menu.inq,Display Available Menus
quit,Quit from PROGRESS. End of session
py.exec,Executive Reporter Menu
py.inquiry,Inquiry Menu
emp.inq,Employee Profile Inquiry
py.empdinq,Employee Wage Inquiry
py.emp-dinq,Employee Wages
py.adjinq,Adjustment Inquiry
tax.inq,Tax Table Inquiry
bank.inq,Bank Master Inquiry
union.inq,Union Master Inquiry
auto.inq,Automatic Deposit Inquiry
py.maintenance,File Maintenance Menu
py.empsmnt,Employee Maintenance
py.emps-a,Employee Audit Trail
py.empdmnt,Employee Wage Maintenance
py.emp-da,Employee Wage Audit Trail
py.deduct,Employee Adjustment Maintenance
py.acrlmnt,Employee Accrual Maintenance
py.accma,Employee Accrual Audit Trail
py.autodp,Automatic Deposit Maintenance
py.bank.maint,Bank Maintenance
py.dedmnt,Adjustment Code Maintenance
py.unonmnt,Union Code Maintenance
py.taxidmnt,Tax Authority Maintenance
py.txtblmnt,Tax Table Maintenance
py.glmaint1,Distribution Maintenance
py.ctrlmnt,Control-File Maintenance
py.emp-sr,Employee Master List
py.emp-dr,Employee Wage List
py.deductr,Recurring Adjustment List
py.accmr,Employee Accrual List
py.autodpr,Automatic Deposit List
py.banklst,Bank List
py.adjustr,Adjustment Code Master List
py.uncodr,Union Code Master List
py.taxidr,Tax Authority Master List
py.txtblr,Tax Table Master List
py.pyaudit,Payroll Audit Trail (All Others)
py.ctrlr,Payroll Control File List
blank,:
py.empglr,Employee Distribution G/L Report
py.overview,Overview Menu
py.sysover,Payroll System Overview
py.hilight,Payroll Highlights
py.proced,Payroll Procedural Flow
py.concept,Payroll System Concepts
py.convers,Payroll Conversion
py.report,Management Reporting Menu
py.ratytdr,Pay Rates and YTD Hours Report
py.empbenr,Employee Benefit Report
py.chkhstr,Employee Check History Report
py.emprevr,Employee Review Report
py.unempr,Unemployment Contributions Report
py.dayeffr,Daily Efficiency Report
py.lbrdstr,Labor Distribution Report
form.alignment,Form Alignment
py.lablr,Labels for Employees
py.mischkr,Missing Check Numbers Report
vacimp,vacation accrual import
vacinp,Vacation input screen
vaclrt,vacation accrual liability report
vacart,vacation accrual report
py.run,Payroll Run Menu
py.param,Set Parameters for Payroll Run
py.sumhrs,Post Summarized Hours Worked
py.manvd,Post Manual and Void Checks
py.grostax,Payroll Calculations
py.ovrid,Override Calculations
py.chkprf,Check Proof
py.chkaud,Check File Audit Trail
py.dedregr,Adjustment Register
py.checks,Payroll Checks
py.chkregr,Payroll Check Register
py.bnkltr,Bank Letter for Auto Deposit
py.mngsumr,Management Summary Report
py.closem,Close Payroll Run
py.jrnlr,Payroll Journal
py.system,System Management Menu
py.loginrp,Stackable Login
py.interba,Payroll to G/L Interface
py.distrba,Payroll Distribution Purge
py.incrprd,Payroll Increment Year/Period
py.prgchk,Check Numbers Purge
py.prghst,Purge History Files
py.prgtcrd,Purge Time Cards
py.qtr,*** QUARTERLY FUNCTIONS TO RUN ***
py.fed941,Federal Tax Return 941 Information
py.st941a,Quarterly 941-A Form
py.unempr,Unemployment Contributions Report
py.zqtd,Zero Employee QTD Accruals
py.yearly,*** YEARLY FUNCTIONS TO RUN ***
py.w2r,W2 Forms
py.drptrm,Drop All Terminated Employees
py.zytd,Zero Employee YTD Accruals
py.technical,Technical Documentation Menu
py.files,File Layouts
py.source,Source Module
py.transaction,Transaction Processing
py.tmcrd,Post Time Cards
py.tmcrda,Time Card Audit Trail
py.otadj,Post One Time Adjustments to Pay
py.otadj-a,One Time Adjustments Audit Trail
py.run,Payroll Run Menu
py.terminat,Set Termination Date for Employee
py.maingl,One-time Distribution G/L Codes
py.tmcrdr,Time Card List
py.hrvarr,Hours Variance Report
py.chkrec,Cashed Check Entry
py.chkreca,Cashed Check Audit Trail
blank,:
py.empglr1,One-Time Distribution Report
sm,S.M.A.R.T.S.tm Main Menu
smqmm,SMARTS Query and Mail Merge Menu
blank,:
smsan,SMARTS Sales Analysis Module
blank,:
blank,:
blank,:
blank,:
sm.inquiry,SMARTS Inquiry Menu
smadmin,SMARTS Administration
blank,:
smbudget,SMARTS Budget and Forecasting Menu
bud_maint,Budget/Forecast Entry and Maint.
blank,:
Sa_Gen_Query,Sales Analysis General Query
Per_Yr_Close,Period Set Year Close
blank,:
smdist,SMARTS Distributed Database Menu
sminq,SMARTS Inquiry Menu
smmaint,SMARTS Maintenance Menu
smqmm,SMARTS Query and Mail Merge Menu
Power_Query,SMARTS Powerful Query & Mail Merge
blank,:
Stored_Query_M,Stored Query Maintenance
blank,:
Word_Processor,Mail Merge Word Processor
Mail_Merge_Lis,Mail Merge File List
blank,:
Stored_Query_L,Stored Query Master List
blank,:
Mail_Merge_Del,Mail Merge Deletion
blank,:
Mail_Merge_Eup,Mail Merge Event Update
blank,:
Dly_Bch_Mail_M,Daily Batch Mail Merge
blank,:
Quit,Quit from PROGRESS. End of session
smsamaint,Sales Analysis Maintenance Menu
smsan,SMARTS Sales Analysis Module
smbudget,SMARTS Budget and Forecasting Menu
blank,:
smsarpt,Sales Analysis Reporting Menu
smsarpt,Sales Analysis Reporting Menu
Slsmn_Prd_Rpt,Salesman Report by Product
blank,:
Slsmn_Ter_Rpt,Salesman Report by Territory
blank,:
Prd_Geo_Rpt,Product Line Report by Territory
blank,:
Geo_Area_Rpt,Geographical Area Report
blank,:
Reg_Prd_Rpt,Region Report by Product Line
blank,:
Off_Prd_Rpt,Office Report by Product Line
blank,:
Ter_Prd_Rpt,Territory Report by Product Line
Prd_Source_Rpt,Product Sales by Company Source
blank,:
Reg_Source_Rpt,Region Sales by Company Source
blank,:
Co_Src_Summary,Company Source Summary Report
blank,:
Quit,Quit from PROGRESS. End of session
smsyspre,SMARTS System Prerequisites
smtrans,SMARTS Transaction Menu
blank,:
stacker.maint,Job Stacker Maintenance
stacker,Job Stacker Execution
demon,Demon Inquiry
stacker.list,Job Stacker List
titan,TITAN Master Menu
gl,GL General Ledger
ar,AR Accounts Receivable
